address,suburb,postcode,property_type,beds,baths,parking,land_size_m2,sold_price,sold_date,sale_method,source_site,source_url
1001/1A Morton Street,Parramatta,2150,Apartment,2,2,1,,635000,2026-08-07,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=4
313/88 Vista Street,Mosman,2088,Apartment,2,1,0,,905000,2026-09-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/
8/88 Avenue Road,Mosman,2088,Apartment,1,1,1,,730000,2026-09-12,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/
7/10 Muston Street,Mosman,2088,Apartment,1,1,0,,750000,2026-09-08,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/
13/5 The Esplanade,Mosman,2088,Apartment,1,1,0,,1450000,2026-09-03,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/
7/154 Raglan Street,Mosman,2088,Apartment,1,1,1,,785000,2026-07-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
1/128-130 Avenue Road,Mosman,2088,Apartment,2,1,1,,1415000,2026-07-14,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
8/6 Punch Street,Mosman,2088,Apartment,1,1,0,,700000,2026-07-09,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
13/6 McLeod Street,Mosman,2088,Apartment,1,1,0,,762000,2026-07-09,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
20/96 Ourimbah Road,Mosman,2088,Apartment,2,1,1,,1030000,2026-07-07,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
4/125 Raglan Street,Mosman,2088,Apartment,2,1,0,,990000,2026-07-07,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
22/43 Musgrave Street,Mosman,2088,Apartment,2,1,1,,1310000,2026-07-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
22/96 Ourimbah Road,Mosman,2088,Apartment,2,1,1,,1025000,2026-07-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
3 Gordon Street,Mosman,2088,House,5,2,2,490,7650000,2026-07-02,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
67 Cowles Road,Mosman,2088,House,4,2,0,,3225000,2026-07-02,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
36 Lang Street,Mosman,2088,House,3,2,1,260,2865000,2026-07-02,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
21 Morella Road,Mosman,2088,House,4,4,2,,11650000,2026-07-01,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
31/2B Brady Street,Mosman,2088,Apartment,3,2,2,,1925000,2026-06-29,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
9/6 Avenue Road,Mosman,2088,Studio,0,1,1,1053,610000,2026-06-26,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
2/60A Raglan Street,Mosman,2088,Apartment,2,1,1,,1175000,2026-06-26,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
2/81A Glover Street,Mosman,2088,Apartment,2,2,1,,1440000,2026-06-25,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4
3/13 Wyong Road,Mosman,2088,Apartment,2,2,1,,1750000,2026-06-22,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
17 Avenue Road,Mosman,2088,House,5,3,2,,5450000,2026-06-19,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
5 Central Avenue,Mosman,2088,House,5,4,2,607,6399000,2026-06-19,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
8/4 Esther Road,Mosman,2088,Apartment,2,1,1,,1560000,2026-06-19,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
2/63 Muston Street,Mosman,2088,Apartment,4,3,3,631,6000000,2026-06-18,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
2/184 Raglan Street,Mosman,2088,Apartment,2,1,1,,1237500,2026-06-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
5B/699 Military Road,Mosman,2088,Apartment,2,1,1,,1450000,2026-06-17,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
15/3 Belmont Road,Mosman,2088,Apartment,2,2,1,,1760000,2026-06-12,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
16/5 The Esplanade,Mosman,2088,Apartment,1,1,1,,1570000,2026-06-06,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
1/10 Lang Street,Mosman,2088,Semi-detached,4,2,1,,3200000,2026-06-06,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
14 Almora Street,Mosman,2088,House,3,3,2,,5025000,2026-06-06,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
1/30 Hale Road,Mosman,2088,Townhouse,3,2,2,,2180000,2026-06-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
2 Morella Road,Mosman,2088,House,5,4,4,594,7360000,2026-06-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
21/96 Ourimbah Road,Mosman,2088,Apartment,2,1,1,2004,900000,2026-06-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
105 Holt Avenue,Mosman,2088,House,4,3,0,,3550000,2026-06-05,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5
10/116 Belmont Road,Mosman,2088,Townhouse,3,2,2,192,2380000,2026-06-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
9/238 Raglan Street,Mosman,2088,Apartment,2,1,1,,1590000,2026-06-04,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
10/1 Hampden Street,Mosman,2088,Apartment,1,1,1,,825000,2026-06-04,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
13/17-23 Heydon Street,Mosman,2088,Retirement Living,2,1,1,,1360000,2026-06-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
11 Euryalus Street,Mosman,2088,House,6,4,3,879,7260000,2026-06-04,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
3/1A Oswald Street,Mosman,2088,Apartment,2,1,0,,1140000,2026-06-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
96 Glover Street,Mosman,2088,House,4,3,2,379,3390000,2026-06-02,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
17/22 Mosman Street,Mosman,2088,Apartment,1,1,1,,827000,2026-06-01,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
14 Calypso Avenue,Mosman,2088,House,4,2,2,,4820000,2026-05-30,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
6/800 Military Road,Mosman,2088,Townhouse,3,2,2,,2725000,2026-05-29,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
28/9 Mandolong Road,Mosman,2088,Apartment,1,1,0,,800000,2026-05-29,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6
