address,suburb,postcode,property_type,beds,baths,parking,land_size_m2,sold_price,sold_date,sale_method,source_site,source_url,total_rooms,bath_per_bed,has_land_data,log_land_size,land_per_bed,has_parking,months_since_start,is_auction
17/10-12 Thomas Street,Parramatta,2150,Apartment,2,1,1,,650000.0,2026-08-31,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,3,0.5,0,0.0,0.0,1,3.19,0
401/6 River Road West,Parramatta,2150,Apartment,2,2,1,,540000.0,2026-08-30,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,4,1.0,0,0.0,0.0,1,3.15,0
1403/1-3 Valentine Avenue,Parramatta,2150,Apartment,1,1,1,,355000.0,2026-08-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,2,1.0,0,0.0,0.0,1,3.09,0
1201/45 Macquarie Street,Parramatta,2150,Apartment,1,1,1,,566000.0,2026-08-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,2,1.0,0,0.0,0.0,1,3.09,0
5/30-32 Queens Avenue,Parramatta,2150,Apartment,2,1,1,,680000.0,2026-08-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,3,0.5,0,0.0,0.0,1,3.09,0
11/32 Hassall Street,Parramatta,2150,Apartment,2,2,1,,590000.0,2026-08-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,4,1.0,0,0.0,0.0,1,3.09,0
C26/88-98 Marsden Street,Parramatta,2150,Apartment,2,2,1,,552000.0,2026-08-27,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,4,1.0,0,0.0,0.0,1,3.06,0
15/1 Good Street,Parramatta,2150,Apartment,2,1,1,,480000.0,2026-08-27,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,3,0.5,0,0.0,0.0,1,3.06,0
1417/32 Hunter Street,Parramatta,2150,Apartment,1,1,1,,560000.0,2026-08-25,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,2,1.0,0,0.0,0.0,1,2.99,0
907/6-10 Charles Street,Parramatta,2150,Apartment,3,2,1,,720000.0,2026-08-25,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=2,5,0.6666666666666666,0,0.0,0.0,1,2.99,0
16L/15 Campbell Street,Parramatta,2150,Apartment,1,1,1,,405000.0,2026-08-25,Auction,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,2,1.0,0,0.0,0.0,1,2.99,1
D603/1 Broughton Street,Parramatta,2150,Apartment,2,2,1,,680000.0,2026-08-25,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,4,1.0,0,0.0,0.0,1,2.99,0
805/21 Hassall Street,Parramatta,2150,Apartment,1,1,0,,410000.0,2026-08-24,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,2,1.0,0,0.0,0.0,0,2.96,0
108/125-129 Arthur Street,Parramatta,2150,Apartment,2,1,1,,653000.0,2026-08-21,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,3,0.5,0,0.0,0.0,1,2.86,0
219/88 Church Street,Parramatta,2150,Apartment,1,1,1,,600000.0,2026-08-21,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,2,1.0,0,0.0,0.0,1,2.86,0
41/3 Good Street,Parramatta,2150,Apartment,2,2,1,,641000.0,2026-08-21,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,4,1.0,0,0.0,0.0,1,2.86,0
1502/88 Church Street,Parramatta,2150,Apartment,2,2,1,,800000.0,2026-08-21,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,4,1.0,0,0.0,0.0,1,2.86,0
11/22-24 Tennyson Street,Parramatta,2150,Apartment,2,2,1,,650000.0,2026-08-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,4,1.0,0,0.0,0.0,1,2.73,0
